Car_ID,Brand,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Condition,Price,Model,Vehicle_Age,Mileage_Per_Year,Price_Tier,Mileage_Bracket
45,Ford,2009,4.6,Hybrid,Manual,45510,Like New,6874.55,Explorer,17,2677.06,Budget,<50k
46,BMW,2017,1.5,Hybrid,Automatic,87945,Like New,16167.56,5 Series,9,9771.67,Budget,50k-100k
47,Tesla,2017,2.0,Diesel,Manual,242802,New,85214.72,Model S,9,26978.0,Premium,200k+
48,BMW,2016,5.4,Petrol,Automatic,250168,New,85266.84,X5,10,25016.8,Premium,200k+
49,Toyota,2007,4.7,Petrol,Automatic,2881,Used,36278.13,Prius,19,151.63,Budget,<50k
50,Ford,2014,1.1,Electric,Automatic,111860,Used,13355.54,Explorer,12,9321.67,Budget,100k-150k
51,Audi,2007,2.2,Diesel,Automatic,166415,Used,71972.18,Q5,19,8758.68,Premium,150k-200k
52,Ford,2016,2.1,Hybrid,Automatic,139728,Used,39212.51,Mustang,10,13972.8,Mid-Range,100k-150k
53,Tesla,2011,2.4,Petrol,Manual,267885,Like New,9319.14,Model S,15,17859.0,Budget,200k+
54,Audi,2007,2.2,Electric,Automatic,147733,Used,19993.56,A4,19,7775.42,Budget,100k-150k
55,Toyota,2013,1.3,Diesel,Manual,290834,Like New,18035.41,Camry,13,22371.85,Budget,200k+
56,Tesla,2003,3.3,Petrol,Manual,294977,New,60966.05,Model S,23,12825.09,Mid-Range,200k+
57,Honda,2000,4.7,Diesel,Automatic,102566,Used,90321.17,CR-V,26,3944.85,Premium,100k-150k
58,BMW,2000,4.0,Diesel,Manual,71240,New,80341.84,5 Series,26,2740.0,Premium,50k-100k
59,Toyota,2018,4.4,Petrol,Automatic,106898,New,56919.02,Prius,8,13362.25,Mid-Range,100k-150k
60,BMW,2015,1.4,Petrol,Manual,209304,Like New,45104.74,3 Series,11,19027.64,Mid-Range,200k+
61,Mercedes,2013,5.8,Petrol,Manual,80522,Used,63774.29,GLC,13,6194.0,Mid-Range,50k-100k
62,Honda,2020,5.2,Diesel,Automatic,145512,Like New,47162.21,Accord,6,24252.0,Mid-Range,100k-150k
63,Honda,2015,5.0,Diesel,Automatic,119107,New,28379.42,CR-V,11,10827.91,Budget,100k-150k
64,Toyota,2004,5.1,Electric,Automatic,22462,Used,69523.76,Camry,22,1021.0,Premium,<50k
65,Honda,2008,5.7,Hybrid,Automatic,279965,New,87958.17,Fit,18,15553.61,Premium,200k+
66,Audi,2001,3.7,Diesel,Manual,92889,New,40422.68,A4,25,3715.56,Mid-Range,50k-100k
67,Honda,2017,2.0,Hybrid,Automatic,88952,Used,84946.15,CR-V,9,9883.56,Premium,50k-100k
68,BMW,2005,4.1,Petrol,Manual,193596,Used,45952.79,X3,21,9218.86,Mid-Range,150k-200k
69,BMW,2008,4.7,Diesel,Manual,177505,Used,43126.91,5 Series,18,9861.39,Mid-Range,150k-200k
70,Tesla,2000,4.7,Electric,Manual,221576,Like New,7690.81,Model X,26,8522.15,Budget,200k+
71,BMW,2008,3.6,Electric,Manual,219393,Like New,71051.5,5 Series,18,12188.5,Premium,200k+
72,Tesla,2015,1.3,Hybrid,Manual,275455,New,81712.74,Model S,11,25041.36,Premium,200k+
73,BMW,2012,2.9,Petrol,Manual,254084,Used,68037.91,X5,14,18148.86,Mid-Range,200k+
74,Audi,2008,5.6,Hybrid,Automatic,129466,New,19379.29,A3,18,7192.56,Budget,100k-150k
75,Tesla,2020,3.9,Petrol,Manual,30531,New,14812.88,Model S,6,5088.5,Budget,<50k
76,Ford,2012,3.7,Electric,Manual,14588,New,59421.58,Fiesta,14,1042.0,Mid-Range,<50k
77,Mercedes,2008,2.3,Hybrid,Manual,143452,New,43144.04,GLC,18,7969.56,Mid-Range,100k-150k
78,Toyota,2010,2.8,Electric,Automatic,173717,New,45764.29,RAV4,16,10857.31,Mid-Range,150k-200k
79,BMW,2003,5.5,Electric,Automatic,161929,Used,96941.02,X5,23,7040.39,Premium,150k-200k
80,Honda,2001,4.3,Petrol,Manual,21711,Like New,73772.65,Fit,25,868.44,Premium,<50k
81,BMW,2005,4.9,Hybrid,Automatic,136169,Used,44119.84,5 Series,21,6484.24,Mid-Range,100k-150k
82,Honda,2013,3.3,Hybrid,Manual,159465,Used,6814.43,CR-V,13,12266.54,Budget,150k-200k
83,Mercedes,2003,4.2,Electric,Automatic,284220,Used,8239.09,GLC,23,12357.39,Budget,200k+
84,Mercedes,2005,2.2,Electric,Manual,160389,Like New,70056.35,E-Class,21,7637.57,Premium,150k-200k
85,Mercedes,2018,4.5,Petrol,Automatic,58480,Like New,84585.18,GLC,8,7310.0,Premium,50k-100k
86,Honda,2005,3.1,Diesel,Automatic,269188,Like New,72231.75,Fit,21,12818.48,Premium,200k+
87,BMW,2001,3.2,Diesel,Automatic,250309,Used,43559.34,X3,25,10012.36,Mid-Range,200k+
88,Mercedes,2017,4.2,Electric,Manual,55486,Like New,7957.9,C-Class,9,6165.11,Budget,50k-100k
89,Audi,2012,5.7,Diesel,Manual,55162,New,96903.15,A3,14,3940.14,Premium,50k-100k
90,Tesla,2008,1.3,Diesel,Manual,210359,Like New,98701.93,Model S,18,11686.61,Premium,200k+
91,Honda,2022,5.1,Diesel,Automatic,29882,Used,57189.63,CR-V,4,7470.5,Mid-Range,<50k
92,Honda,2018,2.5,Diesel,Automatic,54078,Used,11713.74,CR-V,8,6759.75,Budget,50k-100k
93,BMW,2012,3.2,Electric,Manual,238680,New,56392.39,3 Series,14,17048.57,Mid-Range,200k+
94,Honda,2010,1.1,Diesel,Automatic,108730,Like New,89772.15,CR-V,16,6795.62,Premium,100k-150k
95,Honda,2000,2.5,Diesel,Manual,174898,Like New,69598.62,Fit,26,6726.85,Premium,150k-200k
96,Mercedes,2023,3.5,Petrol,Manual,98938,New,73398.98,C-Class,3,32979.33,Premium,50k-100k
97,BMW,2021,1.3,Electric,Manual,118319,Used,13072.13,5 Series,5,23663.8,Budget,100k-150k
98,Mercedes,2006,3.5,Hybrid,Manual,32543,Used,15118.61,E-Class,20,1627.15,Budget,<50k
99,Tesla,2020,5.6,Hybrid,Automatic,124279,Like New,17098.13,Model 3,6,20713.17,Budget,100k-150k
100,Tesla,2014,1.5,Petrol,Automatic,29362,Like New,90915.8,Model 3,12,2446.83,Premium,<50k
101,Mercedes,2000,4.8,Petrol,Automatic,158818,Like New,54955.72,GLA,26,6108.38,Mid-Range,150k-200k
102,Tesla,2011,3.0,Electric,Manual,242721,Like New,80199.63,Model S,15,16181.4,Premium,200k+
103,BMW,2006,4.3,Hybrid,Automatic,165229,Like New,15952.67,X5,20,8261.45,Budget,150k-200k
104,Toyota,2014,2.3,Diesel,Manual,142394,Used,93126.06,Camry,12,11866.17,Premium,100k-150k
105,Mercedes,2020,1.8,Petrol,Manual,69812,Used,83008.5,GLC,6,11635.33,Premium,50k-100k
106,Audi,2018,1.8,Hybrid,Manual,296161,Used,26352.59,A4,8,37020.12,Budget,200k+
107,Audi,2000,1.4,Electric,Manual,228208,Used,88047.31,Q7,26,8777.23,Premium,200k+
108,Honda,2016,1.9,Diesel,Manual,279773,New,30027.06,Accord,10,27977.3,Budget,200k+
109,Tesla,2016,4.3,Electric,Manual,128614,Used,24507.29,Model 3,10,12861.4,Budget,100k-150k
110,Audi,2002,5.4,Petrol,Automatic,96950,New,30103.17,Q5,24,4039.58,Budget,50k-100k
111,Honda,2011,5.1,Hybrid,Automatic,174942,Used,91445.73,Accord,15,11662.8,Premium,150k-200k
112,Toyota,2005,4.4,Hybrid,Automatic,64829,Like New,91981.24,Camry,21,3087.1,Premium,50k-100k
113,BMW,2010,1.6,Hybrid,Automatic,245602,Like New,36254.6,X5,16,15350.12,Budget,200k+
114,BMW,2002,2.4,Hybrid,Manual,10588,Like New,72016.25,3 Series,24,441.17,Premium,<50k
115,BMW,2007,2.5,Diesel,Manual,168217,New,69195.8,5 Series,19,8853.53,Premium,150k-200k
116,Audi,2013,2.2,Diesel,Automatic,272743,Used,81623.45,A3,13,20980.23,Premium,200k+
117,Toyota,2013,3.6,Electric,Automatic,208502,Used,33168.4,Camry,13,16038.62,Budget,200k+
118,Audi,2009,3.7,Diesel,Automatic,134011,New,53463.16,Q5,17,7883.0,Mid-Range,100k-150k
119,Tesla,2001,2.8,Petrol,Automatic,252856,New,68429.03,Model 3,25,10114.24,Mid-Range,200k+
120,Audi,2013,2.8,Petrol,Automatic,284293,New,7494.4,Q5,13,21868.69,Budget,200k+
121,Toyota,2008,5.1,Hybrid,Automatic,197639,New,40790.18,Camry,18,10979.94,Mid-Range,150k-200k
122,Toyota,2002,4.9,Petrol,Automatic,141280,New,71109.39,Prius,24,5886.67,Premium,100k-150k
123,Tesla,2020,2.5,Electric,Automatic,197170,Like New,28996.53,Model S,6,32861.67,Budget,150k-200k
124,Toyota,2007,5.6,Diesel,Manual,180564,Used,95981.89,Corolla,19,9503.37,Premium,150k-200k
125,Toyota,2015,5.8,Diesel,Manual,20951,New,7865.33,Corolla,11,1904.64,Budget,<50k
126,BMW,2001,2.6,Diesel,Manual,179992,Like New,96018.28,X3,25,7199.68,Premium,150k-200k
127,Tesla,2005,2.8,Petrol,Manual,46766,New,25592.57,Model X,21,2226.95,Budget,<50k
128,Ford,2020,3.5,Diesel,Automatic,159423,Like New,9638.09,Mustang,6,26570.5,Budget,150k-200k
129,Ford,2011,5.7,Hybrid,Manual,87122,New,32785.03,Explorer,15,5808.13,Budget,50k-100k
130,Toyota,2004,5.4,Hybrid,Automatic,271452,Used,79696.82,Corolla,22,12338.73,Premium,200k+
131,Ford,2001,1.5,Hybrid,Manual,83211,New,76481.99,Explorer,25,3328.44,Premium,50k-100k
132,Ford,2015,3.0,Petrol,Automatic,126534,New,24839.84,Focus,11,11503.09,Budget,100k-150k
133,Toyota,2004,3.8,Diesel,Automatic,8720,Used,23695.06,RAV4,22,396.36,Budget,<50k
134,Ford,2014,3.5,Petrol,Manual,79993,Used,66045.09,Focus,12,6666.08,Mid-Range,50k-100k
135,Audi,2011,2.0,Diesel,Manual,219973,New,48517.86,Q5,15,14664.87,Mid-Range,200k+
136,Honda,2003,5.3,Electric,Automatic,25905,Used,80267.55,Accord,23,1126.3,Premium,<50k
137,Tesla,2014,4.4,Electric,Automatic,204580,Used,7292.61,Model 3,12,17048.33,Budget,200k+
138,Honda,2010,5.2,Petrol,Automatic,50385,Like New,62989.13,Accord,16,3149.06,Mid-Range,50k-100k
139,Toyota,2015,5.3,Hybrid,Manual,30653,Used,74413.84,Corolla,11,2786.64,Premium,<50k
140,BMW,2022,4.7,Petrol,Manual,91865,Used,99371.68,3 Series,4,22966.25,Premium,50k-100k
141,Tesla,2005,3.2,Hybrid,Automatic,125813,New,69484.26,Model 3,21,5991.1,Premium,100k-150k
142,Toyota,2013,4.1,Diesel,Manual,145871,New,27025.29,Prius,13,11220.85,Budget,100k-150k
143,BMW,2017,1.8,Hybrid,Automatic,191175,Like New,15277.69,5 Series,9,21241.67,Budget,150k-200k
144,Honda,2011,4.4,Hybrid,Manual,248535,New,65887.09,Fit,15,16569.0,Mid-Range,200k+
145,Toyota,2010,1.9,Diesel,Manual,15052,Used,54702.39,Camry,16,940.75,Mid-Range,<50k
146,Tesla,2012,4.5,Electric,Manual,137116,Used,90418.8,Model Y,14,9794.0,Premium,100k-150k
147,Tesla,2020,2.1,Diesel,Manual,150943,Used,74027.76,Model 3,6,25157.17,Premium,150k-200k
148,Mercedes,2022,1.6,Petrol,Manual,220375,New,53425.53,E-Class,4,55093.75,Mid-Range,200k+
149,Audi,2010,1.8,Petrol,Automatic,21381,Used,43341.0,Q7,16,1336.31,Mid-Range,<50k
150,Ford,2022,1.0,Petrol,Automatic,148346,Used,43415.6,Focus,4,37086.5,Mid-Range,100k-150k
151,BMW,2015,4.6,Petrol,Manual,243234,Like New,26498.91,3 Series,11,22112.18,Budget,200k+
152,Mercedes,2014,4.7,Petrol,Automatic,256017,Like New,6645.97,GLA,12,21334.75,Budget,200k+
153,Ford,2020,3.6,Electric,Automatic,235020,Like New,59616.51,Mustang,6,39170.0,Mid-Range,200k+
154,Ford,2014,1.8,Electric,Manual,49892,New,25179.4,Mustang,12,4157.67,Budget,<50k
155,Toyota,2003,1.4,Hybrid,Automatic,181593,Used,24791.06,Camry,23,7895.35,Budget,150k-200k
156,Ford,2010,1.1,Petrol,Manual,214992,Used,16911.22,Mustang,16,13437.0,Budget,200k+
157,Audi,2018,1.8,Diesel,Automatic,280064,Used,23011.57,A3,8,35008.0,Budget,200k+
158,Tesla,2014,5.5,Petrol,Automatic,278846,Like New,8019.97,Model 3,12,23237.17,Budget,200k+
159,Mercedes,2003,2.2,Electric,Automatic,256216,Used,69051.99,C-Class,23,11139.83,Premium,200k+
160,Ford,2020,2.8,Petrol,Automatic,264038,Used,43132.73,Fiesta,6,44006.33,Mid-Range,200k+
161,Toyota,2012,1.5,Electric,Automatic,293129,Used,58344.84,Camry,14,20937.79,Mid-Range,200k+
162,Audi,2021,2.1,Hybrid,Automatic,159359,Used,65510.97,A4,5,31871.8,Mid-Range,150k-200k
163,Honda,2018,3.6,Hybrid,Automatic,258771,Used,97386.03,Civic,8,32346.38,Premium,200k+
164,Tesla,2001,4.0,Hybrid,Manual,125702,New,11485.26,Model Y,25,5028.08,Budget,100k-150k
165,Tesla,2013,2.2,Electric,Manual,73527,Used,44702.18,Model 3,13,5655.92,Mid-Range,50k-100k
166,Mercedes,2003,1.3,Petrol,Manual,146511,New,28360.3,E-Class,23,6370.04,Budget,100k-150k
167,Tesla,2015,3.0,Petrol,Manual,225692,Used,50287.63,Model Y,11,20517.45,Mid-Range,200k+
168,Ford,2020,2.2,Diesel,Automatic,158731,New,92444.87,Explorer,6,26455.17,Premium,150k-200k
169,Toyota,2019,2.1,Electric,Automatic,287120,Used,73778.51,Corolla,7,41017.14,Premium,200k+
170,Tesla,2013,5.8,Diesel,Automatic,235311,Used,67885.21,Model Y,13,18100.85,Mid-Range,200k+
171,Tesla,2014,4.1,Hybrid,Manual,198937,Used,46918.36,Model S,12,16578.08,Mid-Range,150k-200k
172,Honda,2002,3.8,Petrol,Manual,199378,Used,68755.69,CR-V,24,8307.42,Mid-Range,150k-200k
173,Honda,2007,3.1,Electric,Manual,56697,Like New,8075.66,CR-V,19,2984.05,Budget,50k-100k
174,BMW,2015,3.1,Diesel,Automatic,70382,Used,60692.67,X3,11,6398.36,Mid-Range,50k-100k
175,Audi,2009,3.7,Diesel,Manual,278795,New,57608.77,A3,17,16399.71,Mid-Range,200k+
176,Ford,2003,4.5,Diesel,Automatic,180116,Like New,37930.84,Fiesta,23,7831.13,Mid-Range,150k-200k
177,Tesla,2017,4.5,Petrol,Manual,14633,Like New,24143.84,Model 3,9,1625.89,Budget,<50k
178,Tesla,2001,1.9,Petrol,Automatic,79164,Used,81717.78,Model S,25,3166.56,Premium,50k-100k
179,Toyota,2016,3.5,Petrol,Manual,262713,New,10116.9,Prius,10,26271.3,Budget,200k+
180,BMW,2012,3.1,Electric,Automatic,123425,New,11618.92,X5,14,8816.07,Budget,100k-150k
181,Audi,2003,5.4,Petrol,Manual,250220,Like New,46849.57,Q7,23,10879.13,Mid-Range,200k+
182,BMW,2010,4.2,Electric,Manual,295182,New,28992.68,5 Series,16,18448.88,Budget,200k+
183,Mercedes,2006,3.7,Diesel,Automatic,180160,Used,75817.98,GLA,20,9008.0,Premium,150k-200k
184,Audi,2011,1.6,Diesel,Automatic,204249,Used,65248.06,Q7,15,13616.6,Mid-Range,200k+
185,Tesla,2009,4.0,Hybrid,Manual,205538,Used,78390.81,Model Y,17,12090.47,Premium,200k+
186,Tesla,2006,1.6,Petrol,Automatic,197865,Used,35844.5,Model X,20,9893.25,Budget,150k-200k
187,Audi,2012,2.7,Diesel,Manual,201466,Used,75349.3,A4,14,14390.43,Premium,200k+
188,Tesla,2006,1.7,Petrol,Automatic,187223,Like New,86918.81,Model Y,20,9361.15,Premium,150k-200k
189,Ford,2023,4.5,Electric,Manual,111174,Used,37801.08,Fiesta,3,37058.0,Mid-Range,100k-150k
190,Audi,2016,2.0,Diesel,Automatic,137980,Used,37290.1,Q5,10,13798.0,Mid-Range,100k-150k
191,BMW,2009,3.0,Petrol,Manual,68447,Like New,90495.38,X3,17,4026.29,Premium,50k-100k
192,Audi,2009,5.5,Diesel,Manual,205599,Like New,9730.07,Q5,17,12094.06,Budget,200k+
193,Tesla,2023,2.0,Diesel,Manual,226301,Like New,38267.99,Model X,3,75433.67,Mid-Range,200k+
194,Ford,2003,3.5,Petrol,Automatic,279778,New,16273.89,Fiesta,23,12164.26,Budget,200k+
195,Ford,2019,3.1,Diesel,Manual,286705,New,7753.16,Fiesta,7,40957.86,Budget,200k+
196,Mercedes,2003,1.1,Diesel,Automatic,55063,Used,15722.59,GLA,23,2394.04,Budget,50k-100k
197,BMW,2021,5.0,Diesel,Automatic,288065,Used,45968.35,X3,5,57613.0,Mid-Range,200k+
198,Honda,2006,1.3,Diesel,Automatic,19340,Used,70260.83,Accord,20,967.0,Premium,<50k
199,Honda,2021,3.4,Electric,Manual,62781,New,32481.83,CR-V,5,12556.2,Budget,50k-100k
200,Audi,2000,3.8,Diesel,Automatic,277045,Used,85719.15,Q5,26,10655.58,Premium,200k+
201,Mercedes,2011,4.1,Hybrid,Automatic,10638,Used,46573.48,GLA,15,709.2,Mid-Range,<50k
202,Toyota,2023,4.4,Diesel,Automatic,217986,New,96981.66,Prius,3,72662.0,Premium,200k+
203,Audi,2012,2.3,Petrol,Manual,221668,Like New,95644.79,A3,14,15833.43,Premium,200k+
204,Mercedes,2009,1.0,Hybrid,Automatic,294786,New,78461.24,GLC,17,17340.35,Premium,200k+
205,BMW,2014,4.6,Electric,Automatic,25378,Used,93578.52,3 Series,12,2114.83,Premium,<50k
206,BMW,2012,3.7,Hybrid,Automatic,118171,New,72174.13,X3,14,8440.79,Premium,100k-150k
207,BMW,2022,5.2,Hybrid,Automatic,214801,Like New,90080.4,X3,4,53700.25,Premium,200k+
208,BMW,2021,5.1,Hybrid,Manual,64377,Like New,27465.0,3 Series,5,12875.4,Budget,50k-100k
209,BMW,2021,5.2,Petrol,Manual,260339,Like New,37814.92,X5,5,52067.8,Mid-Range,200k+
210,Mercedes,2020,3.4,Petrol,Automatic,54691,Like New,76528.36,C-Class,6,9115.17,Premium,50k-100k
211,Mercedes,2021,2.7,Petrol,Automatic,91782,Like New,45333.32,E-Class,5,18356.4,Mid-Range,50k-100k
212,Ford,2008,5.0,Electric,Automatic,259896,Like New,84546.11,Focus,18,14438.67,Premium,200k+
213,Honda,2008,3.3,Petrol,Automatic,78343,Used,88375.69,Fit,18,4352.39,Premium,50k-100k
214,Tesla,2014,1.9,Petrol,Manual,121399,Used,33474.3,Model S,12,10116.58,Budget,100k-150k
215,BMW,2009,5.3,Hybrid,Manual,31357,New,83227.83,5 Series,17,1844.53,Premium,<50k
216,Toyota,2023,5.4,Petrol,Manual,294458,Used,19655.11,Corolla,3,98152.67,Budget,200k+
217,Tesla,2009,3.3,Diesel,Manual,70283,Like New,36748.69,Model Y,17,4134.29,Budget,50k-100k
218,Mercedes,2007,1.4,Petrol,Automatic,59567,Used,54206.67,C-Class,19,3135.11,Mid-Range,50k-100k
219,Toyota,2023,2.9,Electric,Automatic,237778,New,26512.16,Prius,3,79259.33,Budget,200k+
220,Toyota,2015,5.0,Electric,Manual,141758,Like New,60030.44,Prius,11,12887.09,Mid-Range,100k-150k
221,Toyota,2016,5.5,Diesel,Manual,61606,Used,59976.03,RAV4,10,6160.6,Mid-Range,50k-100k
222,Ford,2004,2.0,Electric,Automatic,281035,Used,24655.78,Fiesta,22,12774.32,Budget,200k+
223,Mercedes,2003,1.3,Electric,Automatic,101732,New,80585.93,GLA,23,4423.13,Premium,100k-150k
224,Toyota,2017,5.4,Hybrid,Automatic,191791,Like New,65006.23,RAV4,9,21310.11,Mid-Range,150k-200k
225,BMW,2023,2.9,Diesel,Automatic,292021,New,35187.25,X3,3,97340.33,Budget,200k+
226,Audi,2018,3.7,Hybrid,Automatic,249465,Like New,27057.55,A4,8,31183.12,Budget,200k+
227,Toyota,2003,5.8,Hybrid,Manual,224589,Like New,88481.26,Corolla,23,9764.74,Premium,200k+
228,Ford,2006,1.3,Petrol,Manual,14026,Used,84395.51,Fiesta,20,701.3,Premium,<50k
229,Tesla,2009,4.2,Diesel,Automatic,282566,New,26827.26,Model Y,17,16621.53,Budget,200k+
230,Mercedes,2017,1.4,Petrol,Automatic,295625,New,8382.5,GLC,9,32847.22,Budget,200k+
231,Ford,2018,2.9,Petrol,Manual,109384,New,81430.6,Explorer,8,13673.0,Premium,100k-150k
232,Toyota,2003,5.0,Hybrid,Automatic,252771,Like New,63473.31,Corolla,23,10990.04,Mid-Range,200k+
233,Mercedes,2009,3.2,Electric,Manual,58031,New,14583.79,C-Class,17,3413.59,Budget,50k-100k
234,Audi,2000,6.0,Diesel,Manual,68232,Like New,60799.03,A3,26,2624.31,Mid-Range,50k-100k
235,Toyota,2022,3.8,Electric,Manual,143084,New,47957.36,Camry,4,35771.0,Mid-Range,100k-150k
236,Ford,2017,2.6,Hybrid,Manual,236503,New,78582.28,Focus,9,26278.11,Premium,200k+
237,Honda,2004,2.1,Hybrid,Automatic,292104,Used,24863.06,Fit,22,13277.45,Budget,200k+
238,BMW,2014,2.8,Hybrid,Automatic,87695,New,48049.89,X3,12,7307.92,Mid-Range,50k-100k
239,Tesla,2016,2.9,Hybrid,Manual,130066,Used,19843.19,Model X,10,13006.6,Budget,100k-150k
240,Ford,2002,1.3,Hybrid,Automatic,138982,Used,95965.09,Fiesta,24,5790.92,Premium,100k-150k
241,Mercedes,2011,2.8,Hybrid,Automatic,264837,Like New,78980.12,GLA,15,17655.8,Premium,200k+
242,Toyota,2001,3.3,Electric,Automatic,115313,New,74988.63,Corolla,25,4612.52,Premium,100k-150k
243,BMW,2000,4.6,Petrol,Automatic,28810,New,70569.63,3 Series,26,1108.08,Premium,<50k
244,Toyota,2022,4.3,Electric,Manual,20092,New,45216.96,Prius,4,5023.0,Mid-Range,<50k
245,Mercedes,2020,4.5,Diesel,Automatic,58105,Used,92711.83,C-Class,6,9684.17,Premium,50k-100k
246,Toyota,2016,1.0,Electric,Manual,161577,New,11927.12,RAV4,10,16157.7,Budget,150k-200k
247,Honda,2021,2.1,Hybrid,Manual,204300,Like New,81309.61,Civic,5,40860.0,Premium,200k+
248,BMW,2015,4.3,Electric,Automatic,290699,Like New,25447.11,3 Series,11,26427.18,Budget,200k+
249,BMW,2004,3.4,Petrol,Manual,71934,New,35782.66,X3,22,3269.73,Budget,50k-100k
250,Mercedes,2014,1.0,Diesel,Automatic,72788,Used,54345.82,GLA,12,6065.67,Mid-Range,50k-100k
